,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
88,7DEM0croHHjdj4ZmJa9O0h,Laufey,A Matter of Time: The Final Hour,Silver Lining,0,197533,False,0.495,0.343,9,-7.885,1,0.0261,0.819,0.000144,0.111,0.196,82.243,4,jazz
89,2DG20cnHcJch4H9pbL9w7r,Laufey,A Matter of Time: The Final Hour,Carousel,0,199800,False,0.439,0.271,2,-11.044,1,0.0291,0.945,0.0145,0.114,0.286,145.89,4,jazz
90,6TA3dYJ1DBDHJD5Xc3z1f9,Ludovico Einaudi,Solo Piano,Adieux,0,173374,False,0.184,0.00416,3,-36.959,1,0.0508,0.988,0.931,0.105,0.287,73.013,4,classical
91,67owhi2vdncwSNE4fEM5Lc,Strings From Paris,Bridgerton Season Four (Covers from the Netflix Series),Never Be The Same,0,225064,False,0.317,0.0752,0,-20.733,1,0.04,0.899,0.114,0.137,0.319,80.041,4,classical
92,46odPfzMypgxCBMUPmdKxr,Motionless In White,Afraid Of The Dark,Afraid Of The Dark,0,278416,True,0.46,0.961,3,-3.197,0,0.222,0.000548,0.0,0.114,0.227,110.561,4,metal
93,3r2ZoCWlf9RewWlxxozfQ8,Jay Wheeler,De Lejitos,De Lejitos,0,207600,True,0.712,0.565,5,-6.858,0,0.0378,0.38,0.0,0.1,0.479,99.903,4,latin
94,67jm6nWkkJUsiJ6zedlYng,Régulo Molina;Oscar Maydon;Neton Vega,Canasteo,Canasteo,0,270697,True,0.833,0.598,1,-7.752,1,0.369,0.126,8.29e-06,0.168,0.859,171.918,4,latin
95,4rrGcaA4OqeNty6CXxnfz0,Peso Pluma;Tito Double P;El Randal,DINASTÍA (DELUXE),ganga,0,165949,True,0.751,0.912,6,-4.381,0,0.0619,0.451,0.0709,0.177,0.657,124.961,4,latin
96,4icM6ny646bWf318ws9LWz,Peso Pluma;Tito Double P;LENCHO,chiclona,chiclona,0,161620,True,0.794,0.835,2,-5.141,0,0.0609,0.548,0.00124,0.144,0.59,120.97,4,latin
97,1nkrOMcNi5TAwYWDQAOaB3,Omar Camacho;Victor Mendivil;Angel Almaguer;$HUPE,4x4,4x4,0,288671,True,0.912,0.466,1,-12.756,1,0.241,0.0637,0.0,0.0967,0.976,142.988,4,latin
98,11mDIi9MNeOXoeSqiYQnWI,El Alfa;De La Ghetto;Zion;DJ Chulo NYC;El Cherry Scom;La Greña;Ronny GTA;Ezzy R,PANTI Y COLALE 2.0,PANTI Y COLALE 2.0,0,279685,False,0.663,0.918,4,-2.189,0,0.212,0.324,9.18e-06,0.115,0.838,126.673,4,latin
99,2KgzC2HaBfy67hMkSUDOys,Luis R Conriquez;Neton Vega;Rey Quinto,Aguas,Aguas,0,172682,False,0.838,0.694,2,-6.54,0,0.0344,0.198,0.0,0.131,0.737,121.979,4,latin
100,3DEPnIQZWIcpRUwH5O0J6O,Calle 24;Fuerza Regida,ETERNO,Noche Perfecta,0,204321,True,0.548,0.571,3,-7.518,1,0.048,0.213,0.0,0.322,0.728,74.599,4,latin
101,2A802q6kZPas36Fh3nVepA,Peso Pluma;Tito Double P;Armenta,DINASTÍA (DELUXE),london,0,193229,True,0.685,0.824,2,-4.962,0,0.0691,0.549,0.000548,0.107,0.511,116.924,4,latin
102,7ojNFDRPCH9gIpDtdCjl9W,Victor Mendivil;Hades66,Alaska,Alaska,0,206340,False,0.693,0.561,1,-8.539,1,0.453,0.0953,0.0,0.139,0.323,124.424,4,latin
103,4Tx0nnFH7oVo3fvVyVeTYv,Peso Pluma;Tito Double P;Rey Quinto,DINASTÍA (DELUXE),marianita,0,179977,True,0.64,0.868,2,-5.521,0,0.0608,0.517,0.0295,0.162,0.794,131.583,4,latin
